season,team_api_id,player_id
2010/2011,7955,25860.0
2010/2011,7955,176302.0
2010/2011,10199,31427.0
2010/2011,10179,95233.0
2010/2011,10190,27545.0
2010/2011,10192,194036.0
2010/2011,10190,114794.0
2010/2011,7955,42122.0
2010/2011,9956,25840.0
2010/2011,7955,120082.0
2011/2012,10243,132844.0
2011/2012,10191,158253.0
2011/2012,9777,180302.0
2011/2012,7730,25879.0
2011/2012,10179,30936.0
2011/2012,9777,7628.0
2011/2012,10192,194036.0
2012/2013,10179,98382.0
2012/2013,9777,92094.0
2012/2013,9956,25840.0
2012/2013,7730,274781.0
2012/2013,10192,93223.0
2012/2013,10191,158253.0
2012/2013,9956,166557.0
2012/2013,9931,36025.0
2012/2013,10179,30936.0
2012/2013,10192,67349.0
2012/2013,7730,94313.0
2013/2014,10179,185704.0
2013/2014,10243,304856.0
2013/2014,9931,91984.0
2013/2014,9956,80564.0
2013/2014,10179,47155.0
2013/2014,9956,118359.0
2013/2014,7730,120082.0
2014/2015,10243,31100.0
2014/2015,9956,147959.0
2014/2015,10199,95257.0
2014/2015,10192,112976.0
2014/2015,10190,143790.0
2014/2015,10179,451335.0
2014/2015,9931,68552.0
2015/2016,7896,178142.0
2015/2016,10190,92094.0
2015/2016,10191,113237.0
2015/2016,9956,289472.0
2015/2016,10243,3517.0
2015/2016,10243,198082.0
2015/2016,9824,202669.0
2015/2016,10191,464665.0
2008/2009,9987,38782.0
2008/2009,9999,148336.0
2008/2009,7947,116788.0
2008/2009,9986,38419.0
2008/2009,9994,69629.0
2008/2009,9984,12692.0
2008/2009,8571,37900.0
2008/2009,8635,38253.0
2008/2009,7947,178291.0
2009/2010,9991,46335.0
2009/2010,8342,75405.0
2009/2010,8635,37069.0
2009/2010,10001,17883.0
2009/2010,8203,178291.0
2009/2010,9999,23997.0
2009/2010,9987,43158.0
2010/2011,9986,25636.0
2010/2011,6351,186188.0
2010/2011,9991,12574.0
2010/2011,9989,213111.0
2010/2011,8635,38253.0
2010/2011,9984,122116.0
2010/2011,9993,166679.0
2010/2011,9985,46335.0
2010/2011,9993,7226.0
2010/2011,8342,38336.0
2010/2011,10000,131530.0
2011/2012,9997,68226.0
2011/2012,10001,37025.0
2011/2012,8571,77813.0
2011/2012,9994,104404.0
2011/2012,9989,32690.0
2011/2012,10001,197570.0
2011/2012,9985,166302.0
2011/2012,9998,78902.0
2011/2012,9997,26502.0
2011/2012,8342,38366.0
2012/2013,9989,178488.0
2012/2013,9986,26502.0
2012/2013,9985,306117.0
2012/2013,9987,157561.0
2012/2013,8342,166648.0
2012/2013,8342,38382.0
2012/2013,8571,39625.0
2012/2013,9985,248689.0
2012/2013,8571,38231.0
2012/2013,8203,67952.0
2012/2013,9987,148315.0
2012/2013,9998,17276.0
2012/2013,9989,181073.0
2012/2013,10000,38419.0
2012/2013,9993,190854.0
2012/2013,8571,71599.0
2012/2013,8475,105695.0
2012/2013,9987,38782.0
2013/2014,9989,410160.0
2013/2014,9991,181842.0
2013/2014,9991,38419.0
2014/2015,10000,179402.0
2014/2015,9991,282671.0
2014/2015,8571,131530.0
2014/2015,8475,466203.0
2014/2015,10001,68120.0
2014/2015,8203,246552.0
2014/2015,8635,21726.0
2014/2015,8635,71353.0
2014/2015,9987,157561.0
2014/2015,9994,526230.0
2014/2015,8203,21753.0
2014/2015,8342,465726.0
2015/2016,8475,277772.0
2015/2016,9985,466203.0
2015/2016,9994,497753.0
2015/2016,8573,166302.0
2015/2016,9986,17703.0
2008/2009,10194,23314.0
2008/2009,8668,30735.0
2008/2009,8667,26143.0
2008/2009,9879,31907.0
2008/2009,10252,23264.0
2008/2009,8462,30348.0
2008/2009,8549,42183.0
2008/2009,8668,24160.0
2008/2009,10252,23354.0
2008/2009,8668,40792.0
2008/2009,8462,23190.0
2008/2009,8655,34176.0
2009/2010,8650,30853.0
2009/2010,8528,30953.0
2009/2010,9825,30843.0
2009/2010,8655,49825.0
2009/2010,8602,23291.0
2009/2010,9879,26461.0
2009/2010,10260,24154.0
2009/2010,8559,30753.0
2009/2010,8472,23949.0
2009/2010,8655,21613.0
2009/2010,8462,26347.0
2009/2010,8455,51553.0
2009/2010,10194,24001.0
2009/2010,8654,181229.0
2009/2010,9825,31435.0
2009/2010,8658,26559.0
2009/2010,9879,24661.0
2009/2010,8586,24635.0
2010/2011,9879,24741.0
2010/2011,8586,30830.0
2010/2011,9879,30956.0
2010/2011,8483,21853.0
2010/2011,10260,30829.0
2010/2011,9825,30843.0
2010/2011,8455,31906.0
2010/2011,8528,18859.0
2010/2011,8456,37459.0
2011/2012,9825,30843.0
2011/2012,8559,30753.0
2011/2012,9825,37950.0
2011/2012,10261,35454.0
2011/2012,10003,38831.0
2011/2012,8472,169721.0
2011/2012,10261,24225.0
2011/2012,10260,27430.0
2011/2012,8668,25666.0
2011/2012,9850,47555.0
2011/2012,8528,41061.0
2011/2012,10252,184360.0
2011/2012,8455,31906.0
2011/2012,8472,242308.0
2011/2012,10194,38755.0
2012/2013,10261,35411.0
2012/2013,9798,33692.0
2012/2013,8586,30960.0
2012/2013,8528,41061.0
2012/2013,8650,127130.0
2012/2013,9825,32118.0
2012/2013,8654,34543.0
2012/2013,10003,2802.0
2012/2013,10003,23788.0
2013/2014,10252,23264.0
2013/2014,8586,37506.0
2013/2014,8344,24157.0
2013/2014,8650,40636.0
2013/2014,8659,23293.0
2013/2014,8654,30630.0
2013/2014,10194,30830.0
2013/2014,10260,70409.0
2013/2014,10252,150401.0
2013/2014,8650,106228.0
2013/2014,10261,39987.0
2013/2014,8456,37412.0
2013/2014,8472,35443.0
2013/2014,8659,25666.0
2013/2014,9879,261597.0
2013/2014,8455,33639.0
2013/2014,8650,246575.0
2013/2014,9879,36257.0
2013/2014,8659,239807.0
2014/2015,10252,184360.0
2014/2015,8654,195927.0
2014/2015,8667,23839.0
2014/2015,9825,113836.0
2014/2015,8586,37506.0
2014/2015,8650,37234.0
2014/2015,10261,161420.0
2014/2015,8197,173461.0
2014/2015,10194,106228.0
2014/2015,8197,23190.0
2014/2015,8667,101969.0
2014/2015,8455,107417.0
2014/2015,10252,30352.0
2014/2015,8659,23257.0
2015/2016,8456,143365.0
2015/2016,10194,33881.0
2015/2016,8678,35523.0
2015/2016,8197,286119.0
2015/2016,9826,46417.0
2015/2016,10260,303824.0
2015/2016,9826,160194.0
2015/2016,8654,106228.0
2015/2016,10260,413557.0
2015/2016,10003,95955.0
2015/2016,8668,26151.0
2015/2016,8466,187266.0
2015/2016,10260,696365.0
2015/2016,8472,24159.0
2008/2009,9855,17806.0
2008/2009,9829,26213.0
2008/2009,8583,39994.0
2008/2009,9873,26116.0
2008/2009,8682,37466.0
2008/2009,9827,41119.0
2008/2009,9829,40762.0
2008/2009,9873,39670.0
2008/2009,8639,107417.0
2008/2009,9829,51371.0
2008/2009,9851,26332.0
2008/2009,8583,97699.0
2008/2009,8592,30625.0
2008/2009,8592,25515.0
2009/2010,9748,160370.0
2009/2010,8481,38951.0
2009/2010,9873,41240.0
2009/2010,9855,30526.0
2009/2010,8592,25515.0
2009/2010,9853,37273.0
2009/2010,9873,37756.0
2009/2010,9829,74838.0
2009/2010,8639,35407.0
2009/2010,9941,34003.0
2009/2010,9847,39991.0
2010/2011,8481,25538.0
2010/2011,9827,71605.0
2010/2011,9847,37554.0
2010/2011,8639,26332.0
2010/2011,9831,26394.0
2010/2011,9831,41119.0
2010/2011,9851,173955.0
2010/2011,8481,210146.0
2010/2011,9827,39963.0
2010/2011,9851,41192.0
2011/2012,8576,38728.0
2011/2012,8576,37242.0
2011/2012,9873,37254.0
2011/2012,8583,26288.0
2011/2012,8639,134232.0
2011/2012,9827,31292.0
2011/2012,8521,14560.0
2011/2012,9831,40659.0
2011/2012,9873,102699.0
2012/2013,7794,71605.0
2012/2013,9873,37254.0
2012/2013,9853,40197.0
2012/2013,9748,210120.0
2012/2013,8592,95955.0
2012/2013,8481,41160.0
2012/2013,9874,201939.0
2012/2013,8689,40018.0
2012/2013,7794,37242.0
2012/2013,9847,18925.0
2012/2013,8481,360156.0
2013/2014,9874,134222.0
2013/2014,7794,33433.0
2013/2014,9941,210184.0
2013/2014,9873,41240.0
2013/2014,9827,94010.0
2013/2014,10249,74838.0
2013/2014,9748,169193.0
2013/2014,9837,159839.0
2013/2014,8592,279181.0
2013/2014,9830,37756.0
2013/2014,8639,426202.0
2014/2015,8550,116253.0
2014/2015,4087,40558.0
2014/2015,9827,166019.0
2014/2015,9851,304856.0
2014/2015,9831,210406.0
2014/2015,9829,150297.0
2014/2015,10249,210692.0
2014/2015,8588,103866.0
2014/2015,8639,172615.0
2014/2015,9827,512740.0
2014/2015,8550,39999.0
2014/2015,7794,192711.0
2014/2015,8639,134232.0
2014/2015,4087,210466.0
2014/2015,9830,25657.0
2014/2015,7819,103714.0
2014/2015,9831,391064.0
2014/2015,8550,179866.0
2015/2016,9837,41175.0
2015/2016,8121,173955.0
2015/2016,9851,207617.0
2015/2016,7819,354485.0
2015/2016,8639,438167.0
2015/2016,9837,613714.0
2015/2016,9747,41364.0
2015/2016,10249,244558.0
2015/2016,8121,310836.0
2015/2016,9853,237631.0
2015/2016,9853,360560.0
2015/2016,9847,46509.0
2015/2016,7794,192711.0
2015/2016,8592,199834.0
2008/2009,10269,40203.0
2008/2009,8178,31199.0
2008/2009,9788,31936.0
2008/2009,10189,30249.0
2008/2009,10189,35997.0
2008/2009,8295,37390.0
2008/2009,8398,19674.0
2008/2009,10189,2862.0
2008/2009,9810,139822.0
2008/2009,8722,37984.0
2009/2010,10269,41244.0
2009/2010,9904,23819.0
2009/2010,10189,30249.0
2009/2010,8178,73448.0
2009/2010,9810,37760.0
2009/2010,9789,18576.0
2009/2010,9790,39141.0
2009/2010,9905,38263.0
2009/2010,9911,42331.0
2009/2010,8697,37550.0
2009/2010,8165,38810.0
2009/2010,9790,30496.0
2009/2010,9905,178812.0
2009/2010,10269,27642.0
2009/2010,9789,35990.0
2009/2010,9823,30924.0
2009/2010,10189,35997.0
2010/2011,9810,27481.0
2010/2011,10269,27642.0
2010/2011,9905,36774.0
2010/2011,8721,75447.0
2010/2011,8721,30445.0
2010/2011,9790,27155.0
2010/2011,10269,41244.0
2010/2011,8152,30702.0
2010/2011,10189,67306.0
2011/2012,9790,30496.0
2011/2012,8178,73448.0
2011/2012,8358,46700.0
2011/2012,8165,150292.0
2011/2012,8178,178812.0
2011/2012,9789,18576.0
2011/2012,8721,27556.0
2011/2012,9790,39141.0
2011/2012,8358,33065.0
2011/2012,8350,308236.0
2011/2012,8226,242709.0
2012/2013,10189,40203.0
2012/2013,9788,30854.0
2012/2013,10269,20694.0
2012/2013,8194,120428.0
2012/2013,10189,40176.0
2012/2013,9904,29145.0
2012/2013,8358,27512.0
2012/2013,9789,141161.0
2012/2013,8406,145545.0
2013/2014,10269,36084.0
2013/2014,8177,50345.0
2013/2014,9905,20694.0
2013/2014,9776,29255.0
2013/2014,8406,277460.0
2013/2014,8178,212867.0
2013/2014,9823,25366.0
2013/2014,9776,24693.0
2014/2015,8460,215804.0
2014/2015,8226,94885.0
2014/2015,8697,35852.0
2014/2015,9823,25366.0
2014/2015,9823,176300.0
2014/2015,8358,196311.0
2015/2016,9790,193530.0
2015/2016,9790,79982.0
2015/2016,8406,129918.0
2015/2016,9904,469763.0
2015/2016,8226,117432.0
2015/2016,9788,264190.0
2015/2016,8406,72707.0
2008/2009,8551,30284.0
2008/2009,10233,39495.0
2008/2009,8530,39706.0
2008/2009,8686,30714.0
2008/2009,9857,41958.0
2008/2009,8533,24409.0
2008/2009,10233,37526.0
2008/2009,8690,31308.0
2009/2010,8551,42664.0
2009/2010,8686,38717.0
2009/2010,10233,41413.0
2009/2010,9857,32749.0
2009/2010,8537,25337.0
2009/2010,9875,39540.0
2009/2010,8600,50047.0
2009/2010,8530,18590.0
2009/2010,8530,42431.0
2009/2010,9976,42437.0
2009/2010,8551,42041.0
2009/2010,9882,24549.0
2009/2010,8564,30729.0
2009/2010,8564,46554.0
2009/2010,8686,33782.0
2010/2011,9885,39540.0
2010/2011,10233,30709.0
2010/2011,10233,26234.0
2010/2011,8564,33974.0
2010/2011,9885,30712.0
2010/2011,8535,39311.0
2010/2011,8533,24448.0
2010/2011,9976,27733.0
2010/2011,8564,30743.0
2010/2011,8543,150401.0
2010/2011,8540,129391.0
2010/2011,9858,128732.0
2010/2011,9888,39537.0
2011/2012,9888,27665.0
2011/2012,8530,18733.0
2011/2012,6269,42437.0
2011/2012,8529,155056.0
2011/2012,10167,41280.0
2011/2012,8551,154249.0
2011/2012,9888,39556.0
2011/2012,8551,27663.0
2011/2012,8529,41326.0
2011/2012,8543,56961.0
2011/2012,10167,27696.0
2011/2012,8686,96643.0
2011/2012,9880,114746.0
2011/2012,10167,27599.0
2012/2013,8529,41326.0
2012/2013,8530,45220.0
2012/2013,9875,193441.0
2012/2013,9878,39745.0
2012/2013,8529,79253.0
2012/2013,9878,170660.0
2012/2013,10167,195199.0
2012/2013,8535,155738.0
2012/2013,8529,155056.0
2012/2013,9878,42017.0
2012/2013,8524,206242.0
2012/2013,8600,27733.0
2013/2014,8564,161328.0
2013/2014,8686,39447.0
2013/2014,8537,27613.0
2013/2014,8533,42482.0
2013/2014,8600,362194.0
2013/2014,8529,35575.0
2013/2014,8533,38920.0
2013/2014,10233,37767.0
2013/2014,8564,24549.0
2013/2014,10167,38827.0
2013/2014,9882,27696.0
2013/2014,10233,188054.0
2013/2014,8537,111794.0
2013/2014,9876,128020.0
2013/2014,9804,41269.0
2013/2014,7943,364520.0
2013/2014,8636,182106.0
2013/2014,9804,27733.0
2014/2015,9876,34633.0
2014/2015,7943,195199.0
2014/2015,8533,109121.0
2014/2015,8686,155738.0
2014/2015,10167,41413.0
2014/2015,10233,166575.0
2014/2015,9876,30709.0
2014/2015,8524,45220.0
2015/2016,8524,45220.0
2015/2016,208931,39447.0
2015/2016,9882,196484.0
2015/2016,8535,38433.0
2015/2016,8686,161015.0
2015/2016,10233,26221.0
2015/2016,9876,265725.0
2015/2016,9876,40601.0
2008/2009,10235,30592.0
2008/2009,8277,116750.0
2008/2009,10229,35497.0
2008/2009,8640,72374.0
2008/2009,9908,36016.0
2008/2009,8464,45473.0
2009/2010,8464,160211.0
2009/2010,8525,38246.0
2009/2010,8464,109653.0
2009/2010,10235,108038.0
2009/2010,8614,110115.0
2009/2010,8525,46291.0
2009/2010,8593,40636.0
2009/2010,8464,28971.0
2009/2010,8593,23951.0
2009/2010,8593,157723.0
2009/2010,10235,37173.0
2009/2010,10228,158582.0
2009/2010,8640,5703.0
2010/2011,8611,40487.0
2010/2011,10228,39379.0
2010/2011,10228,95434.0
2010/2011,9791,72401.0
2010/2011,9908,45830.0
2010/2011,8277,118843.0
2010/2011,8464,109653.0
2010/2011,8526,238879.0
2010/2011,8593,35497.0
2010/2011,8525,42824.0
2011/2012,8464,39213.0
2011/2012,8674,72707.0
2011/2012,8640,46104.0
2011/2012,9761,178749.0
2011/2012,10219,243422.0
2011/2012,8277,453973.0
2011/2012,10235,130298.0
2011/2012,9761,25640.0
2011/2012,10218,279107.0
2011/2012,9803,38612.0
2011/2012,10219,12386.0
2011/2012,9791,26492.0
2011/2012,10217,188557.0
2011/2012,9839,20720.0
2012/2013,8674,72633.0
2012/2013,8464,73447.0
2012/2013,6413,193803.0
2012/2013,10219,33436.0
2012/2013,8593,266526.0
2012/2013,8611,94267.0
2012/2013,6413,26605.0
2012/2013,9791,186136.0
2012/2013,10219,303994.0
2012/2013,8593,78409.0
2012/2013,8277,20645.0
2012/2013,9761,352394.0
2012/2013,10229,41463.0
2013/2014,10229,129915.0
2013/2014,8674,206698.0
2013/2014,10235,402975.0
2013/2014,9803,12386.0
2013/2014,8277,267380.0
2013/2014,6433,150240.0
2013/2014,7788,179115.0
2013/2014,10217,259375.0
2013/2014,8674,72633.0
2013/2014,10219,179206.0
2013/2014,8593,96643.0
2013/2014,8593,39213.0
2013/2014,8640,158581.0
2013/2014,10228,514806.0
2014/2015,10235,240346.0
2014/2015,9908,395422.0
2014/2015,7788,46203.0
2014/2015,10229,172388.0
2014/2015,9791,281110.0
2014/2015,10228,178762.0
2014/2015,8593,252969.0
2014/2015,9761,279116.0
2014/2015,9908,352968.0
2014/2015,6433,115723.0
2015/2016,10218,192856.0
2015/2016,8611,444187.0
2015/2016,9803,198583.0
2015/2016,8611,467521.0
2015/2016,8611,211020.0
2015/2016,8277,432421.0
2015/2016,8674,147594.0
2015/2016,10217,243500.0
2015/2016,8640,277597.0
2015/2016,10218,278848.0
2015/2016,8674,690188.0
2015/2016,7788,46203.0
2015/2016,10229,717557.0
2015/2016,8525,504613.0
2008/2009,2186,34266.0
2008/2009,8028,4999.0
2009/2010,10265,30978.0
2009/2010,8030,69061.0
2009/2010,8021,68870.0
2009/2010,8028,105535.0
2009/2010,8322,38604.0
2010/2011,1957,69541.0
2010/2011,2186,34266.0
2010/2011,8031,38604.0
2010/2011,1601,196185.0
2010/2011,8025,13334.0
2011/2012,1957,13538.0
2011/2012,8020,277460.0
2011/2012,2183,178196.0
2011/2012,1957,249550.0
2011/2012,10265,144998.0
2011/2012,8030,27431.0
2012/2013,8020,69616.0
2012/2013,8021,69479.0
2012/2013,8024,306631.0
2012/2013,8673,38773.0
2012/2013,8021,25255.0
2012/2013,10265,27371.0
2012/2013,8020,277460.0
2012/2013,8028,289178.0
2012/2013,8673,36640.0
2012/2013,8569,275735.0
2012/2013,8024,69417.0
2012/2013,8028,69229.0
2013/2014,10265,30978.0
2013/2014,8023,69229.0
2013/2014,2186,68773.0
2013/2014,8021,25255.0
2013/2014,8673,36640.0
2013/2014,8023,252972.0
2013/2014,8028,68870.0
2013/2014,8028,105535.0
2014/2015,1601,115724.0
2014/2015,8033,12283.0
2014/2015,2186,208743.0
2014/2015,8025,388728.0
2014/2015,2186,36050.0
2014/2015,8019,69223.0
2014/2015,8020,254289.0
2015/2016,2186,433675.0
2015/2016,177361,68870.0
2015/2016,8025,69256.0
2015/2016,1957,206901.0
2015/2016,2186,150809.0
2015/2016,8028,275739.0
2015/2016,8019,69238.0
2008/2009,10215,38113.0
2008/2009,9773,26310.0
2008/2009,6403,98363.0
2008/2009,10212,40973.0
2008/2009,10213,96854.0
2008/2009,10215,56706.0
2008/2009,10238,43283.0
2009/2010,6403,70513.0
2009/2010,10264,22544.0
2009/2010,9768,40189.0
2009/2010,10238,118182.0
2010/2011,9768,40948.0
2010/2011,9771,165889.0
2010/2011,10211,150020.0
2010/2011,9765,164350.0
2010/2011,9809,38804.0
2010/2011,10212,115798.0
2010/2011,10238,79547.0
2010/2011,9809,145068.0
2010/2011,2033,96615.0
2010/2011,9771,185432.0
2010/2011,10238,11798.0
2011/2012,9773,40187.0
2011/2012,2033,154268.0
2011/2012,9773,164684.0
2011/2012,9772,193869.0
2011/2012,7841,164212.0
2011/2012,10264,38241.0
2011/2012,9768,116750.0
2011/2012,9771,72782.0
2011/2012,10211,172875.0
2011/2012,9768,244377.0
2012/2013,9772,193869.0
2012/2013,10211,280936.0
2012/2013,10214,164334.0
2012/2013,10211,97512.0
2012/2013,7844,40946.0
2012/2013,8348,46230.0
2012/2013,9773,242887.0
2012/2013,10238,281628.0
2012/2013,2033,281862.0
2013/2014,10215,360509.0
2013/2014,158085,25108.0
2013/2014,9773,51360.0
2013/2014,10264,477023.0
2013/2014,158085,439933.0
2013/2014,6403,97512.0
2013/2014,9768,154268.0
