id_jugador,menor_variacion_de_potencia
97988.0,0.0
37169.0,0.0
30646.0,0.0
30660.0,0.0
30892.0,0.0
36615.0,0.0
37140.0,0.0
63520.0,0.0
94812.0,0.0
33881.0,0.0
37233.0,0.0
23784.0,0.0
24661.0,0.0
21613.0,0.0
38899.0,0.0
40636.0,0.0
30849.0,0.0
202180.0,0.0
30615.0,0.0
23785.0,0.0
30633.0,0.0
43259.0,0.0
113772.0,0.0
24446.0,0.0
40987.0,0.0
23953.0,0.0
33045.0,0.0
150328.0,0.0
36394.0,0.0
127857.0,0.0
23984.0,0.0
26347.0,0.0
26256.0,0.0
40132.0,0.0
24846.0,0.0
24653.0,0.0
35906.0,0.0
31906.0,0.0
77704.0,0.0
23307.0,0.0
37552.0,0.0
34590.0,0.0
24001.0,0.0
24336.0,0.0
33049.0,0.0
33074.0,0.0
24373.0,0.0
26005.0,0.0
23629.0,0.0
24978.0,0.0
93458.0,0.0
38491.0,0.0
24655.0,0.0
24663.0,0.0
23939.0,0.0
24205.0,0.0
24410.0,0.0
30630.0,0.0
24528.0,0.0
24157.0,0.0
30687.0,0.0
25923.0,0.0
72810.0,0.0
34942.0,0.0
23927.0,0.0
30456.0,0.0
30645.0,0.0
35466.0,0.0
33974.0,0.0
30986.0,0.0
36286.0,0.0
30373.0,0.0
47547.0,0.0
23787.0,0.0
30616.0,0.0
26111.0,0.0
26348.0,0.0
24452.0,0.0
23954.0,0.0
33948.0,0.0
32569.0,0.0
25150.0,0.0
26559.0,0.0
25342.0,0.0
30935.0,0.0
30669.0,0.0
30699.0,0.0
30911.0,0.0
143793.0,0.0
23889.0,0.0
24226.0,0.0
31085.0,0.0
33850.0,0.0
